codigo_escola;ano;anos_escolares;ideb;indicador_rendimento;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada
35000061;2017;anos_iniciais;6.8;0.97834498;250.53;232.25;6.9682598
35000061;2019;anos_iniciais;6.7;0.99253899;245.13;226.22;6.7553792
35000061;2021;anos_iniciais;5.9;0.974271;226.11;207.52;6.05222
35000061;2023;anos_iniciais;6.2;0.992962;229.56;214.29;6.241151
35000073;2015;anos_iniciais;6.6;0.99818701;239.8;222.85;6.592207
35000073;2017;anos_iniciais;;0.99818701;;;
35000073;2019;anos_iniciais;6.3;1;235;212.38;6.3102398
35000073;2021;anos_iniciais;;0.98187;;;
35000073;2023;anos_iniciais;6.3;1;229.28;220.52;6.34908
35000085;2015;anos_iniciais;6.5;0.96874398;245.63;224.05;6.7252851
35000085;2017;anos_iniciais;6.8;0.987391;246.16;230.24;6.848135
35000085;2019;anos_iniciais;6.8;0.99454802;246.28;226.83;6.7886071
35000085;2021;anos_iniciais;6.6;0.980453;242.15;226.96;6.711781
35000085;2023;anos_iniciais;6.7;0.986219;246.95;223.87;6.747203
35000097;2015;anos_finais;3.8;0.95553601;224.35;213.37;3.9619999
35000097;2017;anos_finais;;1;;;
35000097;2019;anos_finais;;;;;
35000097;2021;anos_finais;;;;;
35000097;2023;anos_finais;;;;;
35000097;2017;todos (1-4);;0.95867097;;;
35000097;2019;todos (1-4);;0.97765601;;;
35000097;2021;todos (1-4);;1;;;
35000097;2023;todos (1-4);4.3;0.982746;260.52;269.23;4.378892
35000103;2015;anos_iniciais;5.7;0.97113001;220.78;201.17;5.8350482
35000103;2017;anos_iniciais;6.5;0.99718702;233.92;222.85;6.4801841
35000103;2019;anos_iniciais;5.9;0.994573;222.52;205.83;5.952981
35000103;2021;anos_iniciais;5.7;1;213.58;203.24;5.73528
35000103;2023;anos_iniciais;5.6;0.994349;209.65;201.3;5.625007
35000115;2015;anos_iniciais;5.6;0.958157;218.77;202.33;5.81778
35000115;2017;anos_iniciais;5.9;0.95961499;223.47;217.13;6.1765661
35000115;2019;anos_iniciais;5.6;0.98392397;218.24;194.71;5.6691198
35000115;2021;anos_iniciais;;0.973427;;;
35000115;2023;anos_iniciais;5.3;0.97929;209.05;192.26;5.449193
35000127;2015;anos_iniciais;7.2;0.99593502;258.18;238.66;7.2304249
35000127;2017;anos_iniciais;7.1;0.99122202;254.5;241.53;7.21275
35000127;2019;anos_iniciais;6.9;0.99343199;248.75;232.35;6.935926
35000127;2021;anos_iniciais;7.1;0.993964;250.94;239.1;7.100257
35000127;2023;anos_iniciais;6.7;0.991241;246.21;227.65;6.801808
35000139;2015;anos_finais;4.9;0.93339097;257.37;259.37;5.2789998
35000139;2017;anos_finais;4.7;0.95541602;248.89;248.5;4.9568329
35000139;2019;anos_finais;5.3;0.962834;259.11;270.22;5.4889998
35000139;2021;anos_finais;5.4;0.944978;270.27;269.72;5.6665
35000139;2023;anos_finais;4.6;0.978505;240.79;241.2;4.699833
35000139;2017;todos (1-4);4.2;0.950288;261.26;268.32;4.3759532
35000139;2019;todos (1-4);3.7;0.842435;255.72;272.63;4.362515
35000139;2021;todos (1-4);;0.857692;;;
35000139;2023;todos (1-4);;0.911712;;;
35000140;2015;anos_finais;;;;;
35000140;2017;anos_finais;;0.95194298;;;
35000140;2019;anos_finais;4.4;0.85718602;251.86;259.29;5.185833
35000140;2021;anos_finais;5.1;0.95708;258.8;263.1;5.365
35000140;2023;anos_finais;4.9;0.964735;260.39;242.97;5.056
35000140;2017;todos (1-4);;0.81365103;;;
35000140;2019;todos (1-4);3.5;0.772358;265.14;272.5;4.492732
35000140;2021;todos (1-4);;0.728067;;;
35000140;2023;todos (1-4);;0.960814;;;
35000152;2015;anos_iniciais;7.2;1;255.75;239.77;7.2042322
35000152;2017;anos_iniciais;6.6;1;239.77;225.61;6.6418161
35000152;2019;anos_iniciais;6.3;0.99258602;230.75;218.16;6.3344059
35000152;2021;anos_iniciais;6.7;0.995106;247.72;220.62;6.702806
35000152;2023;anos_iniciais;6.4;1;238.8;214.43;6.420032
35000164;2015;anos_finais;4.2;0.93803602;228.25;240.49;4.4790001
35000164;2017;anos_finais;;0.85324198;;;
35000164;2019;anos_finais;4.8;0.96429199;248.19;249.11;4.9551668
35000164;2021;anos_finais;5.1;0.989643;260.38;248.71;5.1515
35000164;2023;anos_finais;4;0.878756;230.42;239.48;4.498333
35000164;2017;todos (1-4);;0.72899598;;;
35000164;2019;todos (1-4);3.3;0.83055198;250.88;254.61;4.024786
35000164;2021;todos (1-4);;0.987705;;;
35000164;2023;todos (1-4);3.7;0.874671;255.52;260.55;4.178727
35000176;2015;anos_finais;4.2;0.93387699;237.5;231.39;4.4815001
35000176;2017;anos_finais;;0.96277899;;;
35000176;2019;anos_finais;4.8;0.96265101;245.61;251.05;4.9443331
35000176;2021;anos_finais;4.8;0.976671;244.85;249.47;4.905333
35000176;2023;anos_finais;5.1;0.992435;252.09;255.74;5.1305
35000176;2017;todos (1-4);;0.91362298;;;
35000176;2019;todos (1-4);;0.788899;;;
35000176;2021;todos (1-4);;0.957376;;;
35000176;2023;todos (1-4);4.8;0.993927;273.94;284.67;4.798513
35000188;2015;anos_finais;4.9;0.95552498;258.3;251.94;5.1706672
35000188;2017;anos_finais;4.6;0.94169003;241.41;253.33;4.9124999
35000188;2019;anos_finais;5.2;0.97398603;262.64;258.29;5.349
35000188;2021;anos_finais;5.5;0.979314;266.8;272.5;5.655
35000188;2023;anos_finais;4.9;0.94674;249.25;263.37;5.210333
35000188;2017;todos (1-4);3.8;0.85705698;265.66;270.6;4.4717422
35000188;2019;todos (1-4);3.7;0.86604798;256.85;262.13;4.2212
35000188;2021;todos (1-4);4.5;0.937899;270.48;284.67;4.749918
35000188;2023;todos (1-4);4;0.898072;261.23;270.43;4.406828
