codigo_escola;codigo_escola_mec;nome_escola;distrito;bairro;municipio;diretoria;localizacao;cep;latitude;longitude;nivel_socioeconomico;tratamento_cmsp;tratamento_cmsp_periodo;tratamento_cmsp_intensidade;ano_primeiro_cmsp_real;g_cmsp;grupo_cmsp
914373;35914373;NILTON ROBERT PROSPERO PROF;ITAPOLIS;CECAP;ITAPOLIS;TAQUARITINGA;Urbana;14900000;-21.60443497;-48.81208801;4,8;1;2020-05-28;7958460;2020;2021;tratada_cmsp
914411;35914411;DARCY FEDERICI PACHECO PROFESSOR;SAO JOSE DO RIO PRETO;VILA CLEMENTINA;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;Urbana;15051400;-20.77075958;-49.37462997;5;1;2020-05-27;92312171;2020;2021;tratada_cmsp
914435;35914435;CELIA KEIKO IKEDA PROFESSORA;PINDAMONHANGABA;RESIDENCIAL MARICA;PINDAMONHANGABA;PINDAMONHANGABA;Urbana;12411600;-22.9337101;-45.42956924;5,35;1;2020-05-28;26012252;2020;2021;tratada_cmsp
914459;35914459;MARGARIDA MAIA DE ALMEIDA VIEIRA PROFESSORA;CACAPAVA;PARQUE RESIDENCIAL ALVORADA;CACAPAVA;TAUBATE;Urbana;12289368;-23.0699501;-45.71475983;5,15;1;2020-05-27;203883163;2020;2021;tratada_cmsp
914460;35914460;MIGUEL PISTILLI;TAUBATE;CECAP;TAUBATE;TAUBATE;Urbana;12043010;-23.0315094;-45.61949158;5,17;1;2020-05-27;83334433;2020;2021;tratada_cmsp
914484;35914484;ERUCE PAULUCCI PROFESSOR;AVARE;VILA MARTINS III;AVARE;AVARE;Urbana;18702364;-23.11709976;-48.9076004;5,05;1;2020-05-27;14068659;2020;2021;tratada_cmsp
914514;35914514;OTILIA DE PAULA LEITE PROFA;SALTO;JARDIM ELIZABETH;SALTO;ITU;Urbana;13326090;-23.19449997;-47.30920029;5,52;1;2020-05-27;169990918;2020;2021;tratada_cmsp
914526;35914526;MARIA CONSTANCA DE MIRANDA CAMPOS PROFA;SALTO;VILA FLORA;SALTO;ITU;Urbana;13321110;-23.19070053;-47.29579926;;0;;0;;0;nunca_tratada_cmsp
914587;35914587;BAIRRO CARMO MESSIAS;IBIUNA;CARMO MESSIAS;IBIUNA;SAO ROQUE;Rural;18150000;-23.75027084;-47.05725098;5,21;1;2020-05-27;89787284;2020;2021;tratada_cmsp
914605;35914605;WILSON RAMOS BRANDAO PROFESSOR;SOROCABA;PARQUE OURO FINO;SOROCABA;SOROCABA;Urbana;18055690;-23.49864006;-47.50685883;5,33;1;2020-05-27;85522334;2020;2021;tratada_cmsp
914617;35914617;OVIDIO ANTONIO DE SOUZA REVDO;SOROCABA;VILA BARAO;SOROCABA;SOROCABA;Urbana;18061310;-23.4932003;-47.49089813;5,01;1;2020-05-27;58688120;2020;2021;tratada_cmsp
914629;35914629;GENEZIA IZABEL CARDOSO MENCACCI PROFESSORA;SOROCABA;JARDIM NOVO HORIZONTE;SOROCABA;SOROCABA;Urbana;18071800;-23.46039963;-47.49369812;5,49;1;2020-05-27;102358362;2020;2021;tratada_cmsp
914630;35914630;JORGE MADUREIRA PROFESSOR;SOROCABA;PARQUE DAS LARANJEIRAS;SOROCABA;SOROCABA;Urbana;18077381;-23.45438957;-47.47002029;5,42;1;2020-05-27;81639336;2020;2021;tratada_cmsp
914642;35914642;AUGUSTO DA SILVA DOURADO REVERENDO;SOROCABA;IBITI ROYAL PARK;SOROCABA;SOROCABA;Urbana;18087010;-23.43535995;-47.42435837;;0;;0;;0;nunca_tratada_cmsp
914666;35914666;DIMPINA ROCHA LOPES PROFESSORA;PIEDADE;MIGUEL RUCO DE BAIXO;PIEDADE;VOTORANTIM;Rural;18177310;-23.82618523;-47.45670319;5;1;2020-05-27;32516659;2020;2021;tratada_cmsp
914678;35914678;OCTAVIO MARCONDES FERRAZ ENGENHEIRO;ARTUR ALVIM;CONJUNTO HABITACIONAL PADRE JOSE DE ANCHIETA;SAO PAULO;LESTE 4;Urbana;3589001;-23.55138969;-46.48138046;5,18;1;2020-05-27;110769973;2020;2021;tratada_cmsp
914691;35914691;LIVIO XAVIER;ITAIM PAULISTA;ITAIM PAULISTA;SAO PAULO;LESTE 2;Urbana;8140060;-23.51685905;-46.39081955;5,08;1;2020-05-27;101007394;2020;2021;tratada_cmsp
914708;35914708;ARACI ZEBRAL TEIXEIRA;LAJEADO;VILA IOLANDALAJEADO;SAO PAULO;LESTE 2;Urbana;8451050;-23.53840065;-46.40103149;5,14;1;2020-05-27;201703238;2020;2021;tratada_cmsp
914712;35914712;SERGIO ESTANISLAU CAMARGO;GUAIANASES;GUAIANAZES;SAO PAULO;LESTE 3;Urbana;8412000;-23.55417442;-46.40761185;5,07;1;2020-05-27;53190161;2020;2021;tratada_cmsp
914721;35914721;ZIPORA RUBINSTEIN PROFESSORA;GUAIANASES;VILA PRINCESA ISABEL;SAO PAULO;LESTE 3;Urbana;8410410;-23.55069923;-46.41899872;5,28;1;2020-05-27;218649850;2020;2021;tratada_cmsp
914733;35914733;FLAVIO LA SELVA PROFESSOR;JARDIM ANGELA;VILA SANTA LUCIA;SAO PAULO;SUL 2;Urbana;4940070;-23.69177055;-46.76583099;4,97;1;2020-05-27;185828044;2020;2021;tratada_cmsp
914745;35914745;NORBERTO ALVES RODRIGUES PROFESSOR;JARDIM SAO LUIS;JARDIM MAZZA;SAO PAULO;SUL 2;Urbana;5832230;-23.67448044;-46.75259018;5,04;1;2020-05-27;126725548;2020;2021;tratada_cmsp
914757;35914757;MARIA CELIA FALCAO RODRIGUES PROFESSORA;GUARULHOS NORTE;PARQUE MIKAIL;GUARULHOS;GUARULHOS NORTE;Urbana;7142390;-23.40916061;-46.49721909;4,94;1;2020-05-27;186628036;2020;2021;tratada_cmsp
